Timestamp	GPU Usage Percentage	GPU Total Mem Usage	GPU Total Mem Usage Percentage	Process Mem Usage
1627392634.086999	0	1180	14.79	
1627392635.1105607	0	1180	14.79	
1627392636.1335223	0	1180	14.79	
1627392637.1565506	0	1180	14.79	
1627392638.181963	0	1180	14.79	
1627392639.1981196	0	1180	14.79	
1627392640.2141924	3	1722	21.58	
1627392641.2307029	11	5328	66.78	
1627392642.2466452	89	5328	66.78	
1627392643.2606852	78	1180	14.79	
1627392644.281273	0	1180	14.79	
1627392645.3033676	0	1180	14.79	
1627392646.3250318	0	1180	14.79	
1627392647.3422956	0	1180	14.79	
1627392648.3862457	0	1180	14.79	
1627392649.400895	3	1776	22.26	
1627392650.4152226	18	3245	40.67	
1627392651.4379096	35	1180	14.79	
1627392652.4566174	0	1180	14.79	
1627392653.4735913	0	1374	17.22	
1627392654.4882896	6	1946	24.39	
1627392655.5043564	20	6850	85.85	
1627392656.5189946	98	6850	85.85	
1627392657.5333438	100	6850	85.85	
1627392658.549516	83	1180	14.79	
1627392659.5642061	0	1344	16.84	
1627392660.5805197	4	1910	23.94	
1627392661.6090837	11	6092	76.35	
1627392662.6240788	97	6092	76.35	
1627392663.6402109	98	6092	76.35	
1627392664.65457	98	6092	76.35	
1627392665.6706727	98	6092	76.35	
1627392666.6857665	98	6092	76.35	
1627392667.7005749	98	6092	76.35	
1627392668.7164214	98	6092	76.35	
1627392669.7306774	98	6092	76.35	
1627392670.745408	98	6092	76.35	
1627392671.762033	98	6092	76.35	
1627392672.776402	98	6092	76.35	
1627392673.7907574	98	6092	76.35	
1627392674.807237	98	6092	76.35	
1627392675.8262894	98	6092	76.35	
1627392676.841022	98	6092	76.35	
1627392677.8573108	98	6092	76.35	
1627392678.87303	98	6092	76.35	
1627392679.88792	98	6092	76.35	
1627392680.904604	98	6092	76.35	
1627392681.9194193	98	6092	76.35	
1627392682.9354715	98	1180	14.79	
1627392683.9498134	15	1478	18.52	
1627392684.967647	5	2958	37.07	
1627392685.9832118	18	6850	85.85	
1627392686.9975243	94	6850	85.85	
1627392688.012085	100	6850	85.85	
1627392689.0417168	81	1180	14.79	
1627392690.0625098	10	1180	14.79	
1627392691.076999	0	1180	14.79	
1627392692.0943167	0	1180	14.79	
1627392693.1090844	0	1816	22.76	
1627392694.124406	46	3245	40.67	
1627392695.1453567	4	1180	14.79	
1627392696.1643095	0	1180	14.79	
1627392697.1882508	0	1180	14.79	
1627392698.21136	0	1180	14.79	
1627392699.228023	1	1392	17.45	
1627392700.2426455	10	1950	24.44	
1627392701.26321	35	1180	14.79	
1627392702.2809343	0	1180	14.79	
1627392703.2953608	0	1180	14.79	
1627392704.3170493	5	1592	19.95	
1627392705.3318615	13	7830	98.13	
